"","COUNTYA","STATEA","Entropia","Entropia_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1",1,1,0.5743,0.3205,0.2693,0.5661,0.3744,0.3018,0.5859,0.6869,0.424
"2",1,4,0.6696,0.3737,0.5747,0.788,0.5468,0.2807,0.7599,0.7131,0.5937
"3",1,5,0.5719,0.3192,0.2884,0.5289,0.4757,0.4173,0.5265,0.6954,0.6319
"4",1,6,1.2387,0.6913,0.2345,0.6887,0.4037,0.4052,0.5651,0.5804,0.3961
"5",1,8,0.7731,0.4315,0.117,0.6055,0.3587,0.2813,0.6285,0.5974,0.4374
"6",1,9,0.7091,0.3958,0.3195,0.7178,0.3309,0.6242,0.3412,0.634,0.5263
"7",1,10,0.6834,0.3814,0.1092,0.3487,0.3737,0.2957,0.2306,0.3385,0.2332
"8",1,11,0.8848,0.4938,0.4622,0.8006,0.2963,0.528,0.653,0.7413,0.4513
"9",1,12,0.7652,0.4271,0.2157,0.4954,0.4162,0.2548,0.5767,0.7284,0.2997
"10",1,13,0.5837,0.3258,0.2289,0.5196,0.774,0.347,0.4541,0.6777,0.7958
"11",1,15,0.9972,0.5565,0.0792,0.3184,0.3331,0.2502,0.3664,0.4297,0.2159
"12",1,16,0.2658,0.1483,0.0387,0.3448,0.239,0.1757,0.3156,0.385,0.288
"13",1,17,0.1883,0.1051,0.2069,0.6423,0.4465,0.3275,0.6345,0.7356,0.483
"14",1,18,0.1534,0.0856,0.1368,0.6077,0.526,0.4573,0.6136,0.6935,0.5733
"15",1,19,0.0439,0.0245,0.1449,0.9001,0.609,0.5771,0.7143,0.5833,0.631
"16",1,20,0.241,0.1345,0.0912,0.4119,0.4877,0.3985,0.512,0.6148,0.6036
"17",1,21,0.1897,0.1058,0.1174,0.4471,0.4987,0.3978,0.6059,0.5964,0.6873
"18",1,22,0.5303,0.2959,0.4409,0.6806,0.603,0.3581,0.5665,0.8501,0.7127
"19",1,23,0.124,0.0692,0.0814,0.4395,0.3735,0.312,0.4431,0.4222,0.4555
"20",1,24,0.1624,0.0907,0.1404,0.5284,0.5249,0.3641,0.5133,0.5632,0.4144
"21",1,25,0.2586,0.1443,0.1172,0.4444,0.3636,0.3428,0.3411,0.4219,0.3919
"22",1,26,0.101,0.0563,0.1182,0.6704,0.5819,0.3466,0.702,0.6087,0.615
"23",1,27,0.118,0.0658,0.1617,0.6805,0.4996,0.5606,0.7604,0.5462,0.6762
"24",1,28,0.738,0.4119,0.4426,0.6346,0.4934,0.3572,0.5733,0.717,0.5032
"25",1,29,0.1581,0.0882,0.0827,0.4498,0.3853,0.2329,0.4389,0.306,0.3959
"26",1,30,0.184,0.1027,0.0412,0.5689,0.3447,0.2225,0.562,0.4181,0.3801
"27",1,31,0.1436,0.0802,0.0891,0.4837,0.424,0.3304,0.5283,0.5375,0.5372
"28",1,32,0.5807,0.3241,0.1392,0.4834,0.3928,0.1279,0.4561,0.3056,0.3465
"29",1,33,0.0861,0.0481,0.0757,0.4982,0.3686,0.3093,0.5411,0.6013,0.4292
"30",1,34,0.8128,0.4536,0.3423,0.7083,0.4219,0.5057,0.5264,0.6838,0.4376
"31",1,35,0.967,0.5397,0.1797,0.446,0.3149,0.4376,0.4068,0.392,0.5247
"32",1,36,0.4774,0.2665,0.2685,0.664,0.3582,0.3676,0.4395,0.6121,0.3296
"33",1,37,0.576,0.3215,0.2619,0.5204,0.4352,0.335,0.4665,0.6304,0.5272
"34",1,38,0.0317,0.0177,0.1831,0.9256,NA,0.9231,1,NA,NA
"35",1,39,0.0644,0.0359,0.0944,0.5228,0.5814,0.3434,0.6641,0.7796,0.6889
"36",1,40,0.7562,0.422,0.0766,0.7627,0.7754,0.271,0.6694,0.75,0.7918
"37",1,41,0.1755,0.098,0.0556,0.6118,0.3327,0.2479,0.5957,0.7264,0.3952
"38",1,42,0.1802,0.1006,0.1144,0.4904,0.3364,0.4022,0.4648,0.4763,0.4621
"39",1,44,0.1458,0.0814,0.0504,0.32,0.3312,0.2366,0.3243,0.4424,0.4454
"40",1,45,0.6686,0.3732,0.1678,0.3835,0.5393,0.3338,0.4932,0.4891,0.5763
"41",1,47,0.2748,0.1534,0.2328,0.551,0.578,0.3334,0.4958,0.5243,0.4665
"42",1,48,0.8463,0.4723,0.2183,0.5593,0.4231,0.5688,0.2239,0.5988,0.5609
"43",1,49,0.1979,0.1104,0.0343,0.5925,0.3773,0.1659,0.4917,0.4211,0.3535
"44",1,50,0.1194,0.0666,0.1146,0.5591,0.4477,0.3563,0.3624,0.2684,0.3241
"45",1,51,0.7337,0.4095,0.163,0.3803,0.363,0.4267,0.2777,0.5172,0.5197
"46",1,53,0.723,0.4035,0.2389,0.4939,0.4799,0.5056,0.4492,0.61,0.5666
"47",1,54,0.1663,0.0928,0.1221,0.551,0.4615,0.3651,0.5088,0.4925,0.4404
"48",1,55,0.2711,0.1513,0.2961,0.8423,0.6135,0.5518,0.3723,0.6268,0.4785
"49",1,56,0.4282,0.239,0.0801,0.361,0.3131,0.2672,0.4282,0.3682,0.4778
"50",3,1,0.4945,0.276,0.267,0.6127,0.3461,0.2401,0.6259,0.6443,0.4115
"51",3,4,0.9233,0.5153,0.2378,0.492,0.427,0.4928,0.7362,0.3099,0.7028
"52",3,5,0.6584,0.3675,0.3143,0.5895,0.5519,0.3519,0.5844,0.595,0.7091
"53",3,6,0.821,0.4582,0.1689,0.4205,0.1795,0.2691,0.3108,0.6,0.4486
"54",3,8,0.7899,0.4408,0.11,0.4055,0.335,0.3442,0.4828,0.3262,0.4278
"55",3,9,0.6924,0.3864,0.3951,0.7313,0.3508,0.693,0.5178,0.6466,0.6088
"56",3,10,0.6567,0.3665,0.3207,0.6219,0.348,0.4676,0.4608,0.6928,0.5526
"57",3,12,0.5155,0.2877,0.2563,0.6209,0.346,0.4009,0.5498,0.716,0.5959
"58",3,13,0.6946,0.3877,0.1255,0.3671,0.6511,0.2358,0.3377,0.74,0.5584
"59",3,15,0.9898,0.5524,0.1586,0.4433,0.4073,0.3443,0.4984,0.658,0.3129
"60",3,16,0.139,0.0776,0.0594,0.6428,0.7491,0.3242,0.3947,1,0.8684
"61",3,17,0.7023,0.392,0.266,0.5468,0.6224,0.3842,0.5439,0.3489,0.6921
"62",3,18,0.4934,0.2754,0.3426,0.7213,0.366,0.4046,0.5137,0.6669,0.4567
"63",3,19,0.0446,0.0249,0.1292,0.6727,0.6977,0.4349,0.5556,0.6667,0.8333
"64",3,20,0.1232,0.0688,0.0931,0.4702,0.7623,0.3534,0.4478,0.5586,0.7059
"65",3,21,0.0885,0.0494,0.1742,0.5715,0.7486,0.5305,0.8068,0.6061,0.7083
