"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1",1,1,0.7211,0.4024,0.112,0.3534,0.4501,0.2702,0.3807,0.6178,0.409
"2",1,4,0.8213,0.4584,0.5052,0.5776,0.631,0.2886,0.4947,0.6383,0.5782
"3",1,5,0.7756,0.4329,0.1627,0.429,0.4449,0.3594,0.3572,0.5108,0.4248
"4",1,6,1.4633,0.8167,0.1823,0.5815,0.4374,0.4968,0.4237,0.5709,0.4561
"5",1,8,1.0252,0.5722,0.1174,0.5022,0.3033,0.3744,0.4496,0.5163,0.4509
"6",1,9,1.0355,0.5779,0.2424,0.6895,0.3473,0.604,0.2547,0.5829,0.4803
"7",1,10,0.9988,0.5575,0.0828,0.3335,0.3241,0.2519,0.2192,0.2842,0.3121
"8",1,11,1.1506,0.6421,0.3417,0.7451,0.2381,0.5097,0.5751,0.717,0.4754
"9",1,12,1.0772,0.6012,0.1427,0.4665,0.3975,0.2379,0.4411,0.596,0.2978
"10",1,13,0.8674,0.4841,0.1429,0.5197,0.4026,0.2616,0.42,0.5427,0.2893
"11",1,15,1.3636,0.761,0.0531,0.258,0.3461,0.247,0.3034,0.377,0.207
"12",1,16,0.5688,0.3175,0.0388,0.332,0.2778,0.2051,0.2861,0.338,0.3139
"13",1,17,0.3435,0.1917,0.11,0.5017,0.4085,0.2922,0.3753,0.5716,0.375
"14",1,18,0.2578,0.1439,0.0812,0.4783,0.3982,0.3667,0.3782,0.5255,0.3443
"15",1,19,0.1353,0.0755,0.0521,0.5462,0.4257,0.2734,0.523,0.6957,0.4697
"16",1,20,0.3992,0.2228,0.0365,0.3933,0.4722,0.17,0.3723,0.4223,0.5115
"17",1,21,0.2986,0.1667,0.0814,0.4758,0.3676,0.1878,0.4532,0.4401,0.4234
"18",1,22,0.6492,0.3623,0.2758,0.5859,0.444,0.2127,0.5414,0.6731,0.496
"19",1,23,0.3941,0.2199,0.1502,0.6788,0.3442,0.28,0.5378,0.561,0.3546
"20",1,24,0.4843,0.2703,0.2402,0.6378,0.3896,0.4185,0.48,0.5583,0.4386
"21",1,25,0.4201,0.2345,0.0707,0.3706,0.266,0.2688,0.241,0.3681,0.3272
"22",1,26,0.1729,0.0965,0.0244,0.4439,0.2882,0.1433,0.4591,0.4615,0.263
"23",1,27,0.2628,0.1466,0.0799,0.395,0.2901,0.2833,0.4007,0.5746,0.4241
"24",1,28,0.9645,0.5383,0.3146,0.4882,0.4174,0.7832,0.8207,0.6563,0.6761
"25",1,29,0.368,0.2054,0.0626,0.3704,0.3638,0.2497,0.226,0.29,0.3015
"26",1,30,0.3586,0.2001,0.0178,0.257,0.2878,0.1263,0.3203,0.3421,0.3585
"27",1,31,0.4712,0.263,0.0975,0.3987,0.3322,0.3795,0.3052,0.4132,0.3182
"28",1,32,0.8599,0.4799,0.0816,0.3886,0.3171,0.1635,0.3675,0.2666,0.3045
"29",1,33,0.236,0.1317,0.0426,0.3433,0.3612,0.1619,0.3189,0.3564,0.3383
"30",1,34,1.1809,0.6591,0.2284,0.6145,0.5477,0.4954,0.3698,0.5897,0.3918
"31",1,35,1.0999,0.6139,0.1427,0.3537,0.3042,0.4163,0.3293,0.3753,0.4801
"32",1,36,0.8499,0.4744,0.1984,0.606,0.3449,0.3904,0.3066,0.5674,0.4211
"33",1,37,0.9615,0.5366,0.1532,0.4556,0.4421,0.4884,0.2553,0.4769,0.4747
"34",1,38,0.1953,0.109,0.0199,0.5325,0.1121,0.0575,0.475,0.4205,0.0682
"35",1,39,0.1716,0.0958,0.0278,0.3046,0.4085,0.198,0.3479,0.4654,0.5107
"36",1,40,1.1548,0.6445,0.0485,0.3193,0.5241,0.3415,0.3156,0.6155,0.6316
"37",1,41,0.3611,0.2016,0.0269,0.5156,0.2771,0.1621,0.5915,0.6238,0.3241
"38",1,42,0.4153,0.2318,0.0727,0.3719,0.2641,0.3652,0.4008,0.2594,0.4199
"39",1,44,0.2976,0.1661,0.0368,0.2915,0.3554,0.137,0.2713,0.4639,0.318
"40",1,45,0.7429,0.4146,0.1526,0.3926,0.3605,0.3403,0.3663,0.4271,0.3973
"41",1,47,0.4391,0.2451,0.1285,0.5297,0.5457,0.4203,0.3228,0.4851,0.4969
"42",1,48,1.0166,0.5674,0.1367,0.4894,0.3963,0.417,0.2182,0.5072,0.4838
"43",1,49,0.5206,0.2906,0.0279,0.4871,0.1805,0.1933,0.5204,0.6248,0.1506
"44",1,50,0.3079,0.1718,0.0852,0.4571,0.4966,0.2958,0.2795,0.3869,0.3575
"45",1,51,0.9793,0.5465,0.1221,0.3199,0.2685,0.5073,0.371,0.345,0.4857
"46",1,53,0.7802,0.4354,0.2776,0.5838,0.4536,0.5293,0.658,0.6337,0.3498
"47",1,54,0.2035,0.1136,0.0738,0.4344,0.5912,0.2354,0.4542,0.3903,0.6357
"48",1,55,0.42,0.2344,0.1622,0.7484,0.408,0.3851,0.3658,0.6034,0.3836
"49",1,56,0.6067,0.3386,0.057,0.2669,0.338,0.2321,0.3174,0.2948,0.4605
"50",1,72,0.0283,0.0158,0.0371,0.9359,0.9359,0.211,0.9456,0,0.9456
"51",3,1,0.6379,0.356,0.133,0.4776,0.2944,0.3376,0.519,0.5015,0.4436
"52",3,4,1.013,0.5654,0.1883,0.4642,0.3807,0.4639,0.6205,0.2664,0.5894
"53",3,5,0.8222,0.4589,0.1968,0.5199,0.5928,0.4219,0.4779,0.6597,0.714
"54",3,6,0.8344,0.4657,0.0947,NA,0.0644,0.257,NA,NA,0.3214
"55",3,8,0.8986,0.5015,0.0814,0.4695,0.3382,0.3282,0.3391,0.3782,0.3649
"56",3,9,1.0365,0.5785,0.2795,0.6723,0.3933,0.615,0.4261,0.6286,0.5917
"57",3,10,1.0765,0.6008,0.2045,0.5415,0.3758,0.4679,0.3977,0.5651,0.5767
"58",3,12,0.6074,0.339,0.1528,0.5392,0.3176,0.1696,0.4875,0.5727,0.3336
"59",3,13,1.0473,0.5845,0.0736,0.4122,0.4714,0.2352,0.2693,0.3473,0.2362
"60",3,15,1.2592,0.7028,0.1171,0.3882,0.4469,0.3403,0.3871,0.5536,0.3299
"61",3,16,0.2735,0.1526,0.0037,0.3113,0.1609,0.0613,0.25,0.4722,0.2222
"62",3,17,0.8509,0.4749,0.2467,0.5492,0.5571,0.4592,0.6546,0.3211,0.793
"63",3,18,0.8378,0.4676,0.2201,0.6067,0.4868,0.4594,0.3248,0.589,0.5494
"64",3,19,0.1627,0.0908,0.0378,0.4493,0.3038,0.2009,0.625,0.5815,0.3725
"65",3,20,0.2292,0.1279,0.0248,0.1765,0.3074,0.262,0.3161,0.2615,0.494
"66",3,21,0.2125,0.1186,0.0457,0.4238,0.3312,0.2211,0.4366,0.5313,0.4563
"67",3,22,0.8275,0.4619,0.1881,0.5384,0.3965,0.2244,0.5207,0.3852,0.3791
"68",3,23,0.2698,0.1506,0.0901,0.4992,0.426,0.3274,0.414,0.6012,0.4465
"69",3,24,0.9157,0.511,0.1567,0.5198,0.3747,0.3912,0.3641,0.3545,0.3526
"70",3,25,0.4407,0.2459,0.0938,0.4608,0.3626,0.3678,0.2676,0.4635,0.3894
"71",3,26,0.6035,0.3368,0.183,0.8235,0.3119,0.1145,0.8262,0.7817,0.35
"72",3,27,0.6374,0.3558,0.0853,0.4389,0.3224,0.3469,0.2674,0.4086,0.3761
"73",3,28,0.5602,0.3127,0.2219,0.5313,0.4432,0.4928,0.2773,0.6539,0.5743
"74",3,29,0.2124,0.1185,0.0402,0.4635,0.4401,0.1928,0.3547,0.5,0.5202
"75",3,30,0.9111,0.5085,0.1572,0.386,0.3011,0.1973,0.349,0.2806,0.2949
"76",3,31,0.2099,0.1171,0.0729,0.2894,0.6158,0.34,0.5009,0.6342,0.5635
"77",3,32,1.2981,0.7245,0.129,0.3995,0.3096,0.4376,0.3243,0.4014,0.4452
"78",3,33,0.1885,0.1052,0.0304,0.3247,0.2997,0.1714,0.3078,0.4349,0.2865
"79",3,34,1.0958,0.6116,0.1772,0.6319,0.4082,0.4247,0.4542,0.6265,0.4587
"80",3,35,0.7232,0.4036,0.0362,0.3349,0.0682,0.207,0.4661,0.2667,0.2189
"81",3,36,0.2547,0.1421,0.085,0.5363,0.5295,0.2684,0.3288,0.2906,0.3724
"82",3,37,0.5206,0.2905,0.1013,0.4931,0.3522,0.3471,0.3647,0.4581,0.4379
"83",3,38,0.2408,0.1344,0.0673,0.5976,0.5028,0.2481,0.3803,0.3655,0.3495
"84",3,39,0.6368,0.3554,0.1801,0.5565,0.4314,0.3111,0.3426,0.636,0.4867
"85",3,40,0.5605,0.3128,0.111,0.7226,0.4365,0.3106,0.4375,0.3458,0.2857
"86",3,41,0.6627,0.3699,0.0561,0.2671,0.3462,0.2614,0.3086,0.2825,0.4095
"87",3,42,0.6858,0.3828,0.2864,0.667,0.4999,0.3111,0.5435,0.7586,0.4551
"88",3,44,0.4086,0.228,0.0412,0.2953,0.3076,0.2311,0.2272,0.3043,0.3213
"89",3,45,0.8854,0.4941,0.137,0.3986,0.3856,0.3637,0.419,0.5681,0.5618
"90",3,46,0.3241,0.1809,0.1124,0.3545,0.3197,0.4443,0.264,0.6667,0.764
"91",3,47,0.7482,0.4176,0.1115,0.4168,0.2619,0.4543,0.2043,0.3776,0.4336
"92",3,48,0.8645,0.4825,0.0454,0.3514,0.2451,0.1948,0.2431,0.3679,0.3023
"93",3,49,0.4752,0.2652,0.0472,0.2782,0.2426,0.2864,0.297,0.3565,0.3007
"94",3,50,0.242,0.1351,0.0372,0.3388,0.3115,0.1759,0.3303,0.3029,0.331
"95",3,51,0.8145,0.4546,0.1237,0.3987,0.4327,0.4209,0.3088,0.4807,0.4692
"96",3,53,0.3674,0.205,0.0294,0.3739,0.2118,0.1828,0.36,0.3286,0.2636
"97",3,54,0.5842,0.3261,0.0636,0.3537,0.3115,0.2428,0.2158,0.3321,0.2877
"98",3,55,0.6064,0.3385,0.2019,0.4308,0.3022,0.2995,0.3951,0.5189,0.3963
"99",3,56,0.4173,0.2329,0.0225,0.2899,0.2782,0.1881,0.1792,0.321,0.2932
"100",3,72,0.0411,0.023,0.0529,0.6076,0.6419,0.2373,0.5863,0.6462,0.6826
"101",5,1,0.9397,0.5245,0.1366,0.3526,0.3577,0.4338,0.5371,0.5086,0.5572
"102",5,4,1.1459,0.6395,0.2992,0.3833,0.3221,0.3329,0.3404,0.3251,0.4432
"103",5,5,0.2237,0.1248,0.0252,0.4492,0.29,0.1618,0.5243,0.5845,0.2669
"104",5,6,0.7468,0.4168,0.098,0.7821,0.2537,0.2812,0.5309,0.6919,0.2639
"105",5,8,1.1093,0.6191,0.1315,0.4849,0.3362,0.432,0.2971,0.3867,0.4185
"106",5,9,0.4066,0.2269,0.0637,0.3509,0.3037,0.3355,0.2383,0.3224,0.3045
"107",5,10,0.8281,0.4622,0.138,0.4325,0.3142,0.4285,0.3601,0.4475,0.4833
"108",5,12,0.7769,0.4336,0.1231,0.4955,0.2981,0.2304,0.3995,0.389,0.2632
"109",5,13,0.7621,0.4253,0.1688,0.5848,0.3719,0.2107,0.6125,0.4406,0.3859
"110",5,15,1.0138,0.5658,0,NA,0,0,NA,NA,0
"111",5,16,0.5805,0.324,0.0945,0.3804,0.3082,0.1878,0.3588,0.3282,0.3687
"112",5,17,0.4789,0.2673,0.1921,0.6339,0.4166,0.5144,0.1657,0.56,0.4525
"113",5,18,0.552,0.3081,0.1374,0.3195,0.5557,0.4233,0.4107,0.5425,0.6949
"114",5,19,0.3153,0.176,0.2656,0.6171,0.5931,0.74,0.3271,0.456,0.2775
"115",5,20,0.4713,0.2631,0.0583,0.327,0.3247,0.1846,0.2957,0.3639,0.317
"116",5,21,0.2746,0.1533,0.088,0.3828,0.3288,0.2853,0.3818,0.4431,0.3842
"117",5,22,0.8323,0.4645,0.1824,0.5088,0.3484,0.2935,0.4217,0.5206,0.3901
"118",5,23,0.4068,0.227,0.1061,0.5703,0.3914,0.3079,0.3897,0.4368,0.316
"119",5,24,1.0235,0.5712,0.2561,0.6438,0.4258,0.4122,0.4186,0.5535,0.41
"120",5,25,0.6068,0.3387,0.135,0.3898,0.3606,0.5047,0.3054,0.43,0.5073
"121",5,26,0.4446,0.2481,0.1282,0.4888,0.3098,0.4831,0.4048,0.4241,0.4344
"122",5,27,0.5053,0.282,0.2062,0.4393,0.3796,0.2875,0.343,0.3958,0.3973
"123",5,28,0.7716,0.4306,0.1046,0.316,0.4446,0.3031,0.3274,0.5895,0.628
"124",5,29,0.14,0.0781,0.0758,0.5673,0.435,0.3614,0.7091,0.3627,0.5455
"125",5,30,0.8626,0.4814,0.506,0.8217,0.3689,0.5904,0.8137,0.8571,0.6311
"126",5,31,0.2543,0.1419,0,NA,0,0,NA,NA,0
"127",5,32,0.6366,0.3553,0.0522,0.2724,0.2376,0.2143,0.2263,0.3216,0.2341
"128",5,33,0.2551,0.1423,0.0371,0.3456,0.3101,0.1992,0.3355,0.4066,0.3354
"129",5,34,0.9538,0.5323,0.1813,0.5558,0.3797,0.3922,0.3129,0.5149,0.41
"130",5,35,0.8868,0.4949,0.1015,0.4182,0.3536,0.3149,0.2613,0.5031,0.5162
"131",5,36,1.1403,0.6364,0.2286,0.7454,0.54,0.6713,0.3537,0.6491,0.5525
"132",5,37,0.4515,0.252,0.0461,0.3492,0.3512,0.2022,0.39,0.4059,0.3202
"133",5,38,0.8072,0.4505,0.478,0.8403,0.5844,0.4396,0.9221,0.75,0.6494
"134",5,39,0.1972,0.11,0.0597,0.382,0.4567,0.2382,0.359,0.4224,0.4443
"135",5,40,0.932,0.5201,0.0364,0.5022,0.5342,0.164,0.4181,0.6584,0.4407
"136",5,41,0.6277,0.3503,0.0738,0.3532,0.3975,0.3103,0.3487,0.3583,0.4817
"137",5,42,0.1435,0.0801,0.0774,0.4504,0.4411,0.3101,0.4143,0.6121,0.5144
"138",5,44,0.5413,0.3021,0.1158,0.5093,0.314,0.4321,0.1889,0.3875,0.3754
"139",5,45,0.7174,0.4004,0.0811,0.2586,0.6497,0.2942,0.2246,0.6175,0.5969
