"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1",1,1,0.9046,0.5049,0.059,0.2531,0.5302,0.1617,0.231,0.5214,0.4672
"2",1,4,0.8621,0.4811,0.4898,0.5912,0.7202,0.2794,0.4008,0.3438,0.6362
"3",1,5,0.8994,0.502,0.1097,0.3797,0.3771,0.2752,0.2995,0.3288,0.308
"4",1,6,1.4671,0.8188,0.1536,0.5039,0.435,0.4794,0.3619,0.5614,0.4274
"5",1,8,1.1286,0.6299,0.0864,0.4621,0.2435,0.3314,0.3794,0.4148,0.3704
"6",1,9,1.1963,0.6677,0.1844,0.6413,0.2704,0.5424,0.2506,0.5504,0.4243
"7",1,10,1.1573,0.6459,0.0509,0.2882,0.3245,0.2055,0.1859,0.2131,0.2375
"8",1,11,1.2842,0.7167,0.2337,0.6537,0.1975,0.3967,0.514,0.6563,0.3896
"9",1,12,1.2287,0.6858,0.0929,0.4075,0.3264,0.2047,0.3401,0.505,0.2743
"10",1,13,0.9315,0.5199,0.0941,0.4035,0.425,0.2371,0.3872,0.4026,0.2938
"11",1,15,1.3629,0.7606,0.0363,0.1951,0.2917,0.2119,0.196,0.262,0.1407
"12",1,16,0.7471,0.417,0.0289,0.3724,0.259,0.1641,0.3072,0.3583,0.2796
"13",1,17,0.4936,0.2755,0.0536,0.4052,0.3214,0.1425,0.3092,0.4997,0.3296
"14",1,18,0.3521,0.1965,0.0445,0.4832,0.2712,0.2886,0.2321,0.361,0.157
"15",1,19,0.2914,0.1626,0.0181,0.1944,0.2085,0.1765,0.0792,0.225,0.2863
"16",1,20,0.5347,0.2984,0.0174,0.3933,0.198,0.1576,0.3393,0.4121,0.2434
"17",1,21,0.4462,0.249,0.0316,0.3939,0.3427,0.122,0.272,0.316,0.3006
"18",1,22,0.7386,0.4122,0.1375,0.4816,0.3447,0.1826,0.4128,0.3743,0.3644
"19",1,23,0.5754,0.3211,0.1189,0.5978,0.2605,0.2047,0.4538,0.4642,0.2177
"20",1,24,0.5981,0.3338,0.1438,0.5767,0.3438,0.2603,0.3856,0.5796,0.4011
"21",1,25,0.6249,0.3488,0.0619,0.3471,0.2096,0.2584,0.1694,0.3156,0.2277
"22",1,26,0.278,0.1551,0.0152,0.3634,0.2938,0.1878,0.345,0.2087,0.294
"23",1,27,0.3729,0.2081,0.0485,0.336,0.3457,0.2048,0.3423,0.3413,0.3929
"24",1,28,0.9328,0.5206,0.1593,0.4126,0.3754,0.4997,0.5593,0.5952,0.2903
"25",1,29,0.6228,0.3476,0.0466,0.3353,0.27,0.1644,0.2219,0.2951,0.1988
"26",1,30,0.4812,0.2686,0.0065,0.179,0.2048,0.0262,0.1842,0.275,0.2259
"27",1,31,0.6355,0.3547,0.0489,0.3669,0.2348,0.3017,0.166,0.3784,0.2743
"28",1,32,1.016,0.567,0.0461,0.389,0.2711,0.0767,0.3492,0.1681,0.2213
"29",1,33,0.3689,0.2059,0.0121,0.2939,0.2381,0.1209,0.2124,0.2088,0.1754
"30",1,34,1.2657,0.7064,0.1782,0.5737,0.5056,0.4325,0.3299,0.5452,0.3999
"31",1,35,1.1806,0.6589,0.1067,0.3169,0.2607,0.3545,0.2871,0.3426,0.4359
"32",1,36,1.0811,0.6034,0.1377,0.5495,0.3161,0.361,0.2513,0.4971,0.3597
"33",1,37,1.1273,0.6291,0.1014,0.3951,0.3025,0.406,0.2006,0.3814,0.4168
"34",1,38,0.3855,0.2152,0,0,0,0,0,0,0
"35",1,39,0.2372,0.1324,0.0106,0.2001,0.2736,0.1381,0.1863,0.3048,0.2819
"36",1,40,1.2163,0.6788,0.0322,0.2934,0.1871,0.3136,0.3617,0.3747,0.3784
"37",1,41,0.5097,0.2845,0.0116,0.3806,0.224,0.0974,0.3444,0.404,0.1583
"38",1,42,0.5472,0.3054,0.0479,0.312,0.3084,0.2731,0.3514,0.2112,0.3668
"39",1,44,0.5333,0.2976,0.0311,0.3075,0.3942,0.1354,0.2134,0.517,0.4012
"40",1,45,0.8198,0.4575,0.0684,0.3352,0.1123,0.1407,0.354,0.3384,0.1909
"41",1,47,0.6073,0.3389,0.0703,0.4272,0.4523,0.32,0.2683,0.4436,0.3419
"42",1,48,1.1131,0.6212,0.1045,0.451,0.2703,0.3782,0.152,0.3944,0.3291
"43",1,49,0.637,0.3555,0.0066,0.3631,0.0142,0.0928,0.4559,0.3774,0.0786
"44",1,50,0.4725,0.2637,0.0463,0.4039,0.5331,0.2034,0.2461,0.1714,0.3298
"45",1,51,1.0617,0.5925,0.0785,0.2994,0.2688,0.3971,0.29,0.2518,0.4331
"46",1,53,0.7943,0.4433,0.2626,0.3343,0.4799,0.5353,0.4288,0.2235,0.3223
"47",1,54,0.339,0.1892,0.0691,0.6794,0.4866,0.3616,0.3178,0.1928,0.125
"48",1,55,0.5014,0.2799,0.081,0.6601,0.193,0.2147,0.4954,0.5036,0.1356
"49",1,56,0.7527,0.4201,0.0241,0.171,0.2977,0.1361,0.1824,0.1913,0.37
"50",1,72,0.0243,0.0136,0.0231,0.7949,NA,0.1508,0.7855,NA,NA
"51",3,1,0.7506,0.4189,0.0603,0.3687,0.2468,0.2462,0.3973,0.4015,0.3148
"52",3,4,1.0877,0.6071,0.1601,0.4149,0.3849,0.4338,0.5714,0.1934,0.5295
"53",3,5,0.9064,0.5059,0.0574,0.2558,0.3273,0.3696,0.4647,0.1962,0.4891
"54",3,6,1.034,0.5771,0,0,0,0,0,0,0
"55",3,8,0.9918,0.5536,0.0512,0.3882,0.3305,0.2419,0.425,0.0578,0.3672
"56",3,9,1.2024,0.6711,0.2142,0.6318,0.3673,0.549,0.3751,0.6085,0.5541
"57",3,10,1.2474,0.6962,0.1365,0.4463,0.3275,0.401,0.3453,0.5164,0.5193
"58",3,12,0.7469,0.4169,0.0339,0.2343,0.2228,0.2115,0.3396,0.416,0.0764
"59",3,13,1.059,0.5911,0.0326,0.218,0.1399,0.136,0.197,0.2517,0.0547
"60",3,15,1.2657,0.7064,0.1039,0.36,0.4294,0.2853,0.318,0.5012,0.318
"61",3,16,0.3884,0.2168,0.0034,0.4171,0.4579,0.0434,0.4605,0.875,0.4145
"62",3,17,0.8951,0.4996,0.2,0.6164,0.5318,0.1268,0.5262,0.8902,0.6585
"63",3,18,1.0156,0.5668,0.1511,0.5016,0.4859,0.408,0.238,0.3437,0.4165
"64",3,19,0.2608,0.1455,0.0049,0.1821,0.2782,0.0273,0.1548,0.0962,0.2509
"65",3,20,0.354,0.1976,0.0087,0.125,0.2899,0.1814,0.3065,0.4149,0.1084
"66",3,21,0.366,0.2043,0.0089,0.2612,0.2672,0.0356,0.2621,0.2062,0.2613
"67",3,22,1.0463,0.5839,0.1453,0.3452,0.3034,0.6368,0.5597,0.2727,0.3718
"68",3,23,0.369,0.2059,0.0359,0.2989,0.373,0.1075,0.241,0.1804,0.3165
"69",3,24,1.1381,0.6352,0.1161,0.4805,0.3566,0.364,0.3049,0.2968,0.3155
"70",3,25,0.6321,0.3528,0.0585,0.4326,0.3353,0.2632,0.2363,0.4731,0.3258
"71",3,26,0.6855,0.3826,0.1071,0.6825,0.1684,0.0465,0.729,0.8508,0.1391
"72",3,27,0.9003,0.5025,0.0665,0.3744,0.262,0.3454,0.2646,0.3124,0.2827
"73",3,28,0.7138,0.3984,0.1466,0.5002,0.3745,0.404,0.2117,0.493,0.3629
"74",3,29,0.3607,0.2013,0.013,0.3441,0.3013,0.1239,0.2596,0.2189,0.254
"75",3,30,0.9075,0.5065,0.1028,0.6782,0.0996,0.1357,0.6046,0.6861,0.0904
"76",3,31,0.3063,0.171,0.0138,0.2712,0.2369,0.1638,0.3198,0.2273,0.138
"77",3,32,1.4201,0.7926,0.1034,0.3956,0.296,0.4086,0.2682,0.3962,0.429
"78",3,33,0.3082,0.172,0.0126,0.2411,0.2305,0.1264,0.2611,0.2877,0.214
"79",3,34,1.2325,0.6879,0.1354,0.5475,0.3607,0.3997,0.3774,0.5519,0.4318
"80",3,35,0.7529,0.4202,0.0171,0.1196,0.4233,0.1764,0.0568,0.5429,0.5997
"81",3,36,0.4173,0.2329,0.0654,0.5386,0.3928,0.3336,0.2189,0.2825,0.1701
"82",3,37,0.6305,0.3519,0.0372,0.3433,0.2731,0.2383,0.308,0.3504,0.3945
"83",3,38,0.4022,0.2245,0.0359,0.3844,0.3929,0.2527,0.1774,0.151,0.2325
"84",3,39,0.7758,0.433,0.1269,0.5447,0.3937,0.2201,0.3583,0.5509,0.3818
"85",3,40,0.7097,0.3961,0.0432,0.4952,0.2712,0.0203,0.4835,0.4286,0.2509
"86",3,41,0.8663,0.4835,0.0313,0.1943,0.3,0.188,0.1795,0.1986,0.3282
"87",3,42,0.8692,0.4851,0.1919,0.6118,0.4415,0.2357,0.5116,0.7148,0.4131
"88",3,44,0.6264,0.3496,0.0229,0.2191,0.2352,0.2,0.0882,0.2553,0.2572
"89",3,45,1.0154,0.5667,0.0636,0.2837,0.2964,0.2522,0.2709,0.4393,0.4432
"90",3,46,0.5055,0.2821,0,0,0,0,0,0,0
"91",3,47,0.8861,0.4946,0.0729,0.388,0.284,0.3929,0.0518,0.262,0.2978
"92",3,48,0.8796,0.4909,0.0195,0.2366,0.1536,0.1325,0.1596,0.2525,0.2399
"93",3,49,0.5547,0.3096,0.0218,0.1708,0.1887,0.1978,0.1617,0.2386,0.1989
"94",3,50,0.4265,0.238,0.019,0.2779,0.2935,0.1281,0.2054,0.3385,0.1905
"95",3,51,0.9921,0.5537,0.0988,0.3725,0.4489,0.3539,0.2094,0.4006,0.3707
"96",3,53,0.5411,0.302,0.0084,0.2664,0.0839,0.1361,0.207,0.2267,0.1988
"97",3,54,0.7842,0.4376,0.0314,0.3,0.2067,0.1752,0.1513,0.2703,0.1814
"98",3,55,0.7434,0.4149,0.1459,0.313,0.283,0.2187,0.2283,0.2493,0.2413
"99",3,56,0.5445,0.3039,0.0058,0.0518,0.0077,0.0921,0.1212,0.0527,0.0989
"100",3,72,0.0483,0.027,0.0382,0.5526,0.3687,0.2589,0.5251,0.75,0.6073
"101",5,1,1.0119,0.5647,0.0474,0.2064,0.2025,0.3299,0.2569,0.2983,0.2905
"102",5,4,1.2373,0.6906,0.2382,0.3396,0.2679,0.2656,0.2748,0.2515,0.3188
"103",5,5,0.3905,0.2179,0.0085,0.2081,0.3099,0.1035,0.2178,0.2789,0.2474
"104",5,6,0.9041,0.5046,0.0621,0.7214,0.1197,0.1874,0.5408,0.6625,0.1321
"105",5,8,1.2502,0.6978,0.0972,0.4618,0.2924,0.3734,0.2441,0.3581,0.3652
"106",5,9,0.6358,0.3549,0.0461,0.3084,0.2591,0.3058,0.1242,0.2029,0.2173
"107",5,10,0.9264,0.517,0.1019,0.4069,0.2223,0.3966,0.3093,0.3808,0.4237
"108",5,12,0.9417,0.5256,0.0729,0.4208,0.2465,0.2179,0.2773,0.3362,0.2129
"109",5,13,0.859,0.4794,0.0248,0.2217,0.1238,0.1141,0.178,0.1351,0.1514
"110",5,15,1.3502,0.7536,0,NA,0,0,NA,NA,0
"111",5,16,0.7388,0.4123,0.074,0.3322,0.2655,0.175,0.2658,0.2821,0.2582
"112",5,17,0.6048,0.3375,0.0918,0.5381,0.5424,0.4054,0.1369,0.0523,0.137
"113",5,18,0.805,0.4493,0.0756,0.2564,0.4746,0.28,0.3001,0.3997,0.4387
"114",5,19,0.464,0.2589,0.1954,0.6001,0.3322,0.6661,0.1091,0.3148,0.3686
"115",5,20,0.613,0.3421,0.0324,0.2465,0.2941,0.2207,0.1894,0.1543,0.113
"116",5,21,0.4238,0.2365,0.0147,0.2602,0.1527,0.0897,0.2019,0.2832,0.1325
"117",5,22,1.023,0.571,0.1098,0.4143,0.3056,0.2197,0.295,0.463,0.3596
"118",5,23,0.5873,0.3278,0.0733,0.5363,0.3141,0.2094,0.4081,0.419,0.2662
"119",5,24,1.2241,0.6832,0.1948,0.5804,0.3868,0.4113,0.3994,0.4919,0.423
"120",5,25,0.8398,0.4687,0.0985,0.3551,0.3056,0.4541,0.3151,0.3637,0.4818
"121",5,26,0.5806,0.324,0.0758,0.371,0.2394,0.4008,0.3209,0.29,0.3527
"122",5,27,0.6224,0.3474,0.1376,0.4032,0.2842,0.1814,0.2739,0.2141,0.2115
"123",5,28,0.8359,0.4665,0.022,0.1686,0.5187,0.1566,0.1544,0.6873,0.6577
"124",5,29,0.296,0.1652,0.0042,0.0321,0.1367,0.0937,0.1258,0.1688,0.0431
"125",5,30,0.9472,0.5287,0.4149,0.7677,0.3837,0.4492,0.3759,0.4923,0.2785
"126",5,31,0.3458,0.193,0,0,NA,0,0,NA,NA
"127",5,32,0.766,0.4275,0.0438,0.2103,0.2194,0.2176,0.1841,0.2335,0.174
"128",5,33,0.4326,0.2414,0.0168,0.3031,0.2522,0.1334,0.2114,0.3026,0.2531
"129",5,34,1.1256,0.6282,0.1397,0.5262,0.3719,0.3273,0.3027,0.4916,0.425
"130",5,35,0.9191,0.513,0.057,0.2991,0.2804,0.2602,0.1647,0.437,0.4428
"131",5,36,1.1638,0.6495,0.1735,0.6977,0.5064,0.6032,0.3196,0.6219,0.5235
"132",5,37,0.5584,0.3117,0.02,0.2459,0.4387,0.1543,0.0916,0.2455,0.2844
"133",5,38,0.8617,0.4809,0.4088,0.7524,0.8819,0.3928,0.3596,0.5,0.7416
"134",5,39,0.3283,0.1832,0.023,0.317,0.4063,0.1715,0.2632,0.2112,0.3789
"135",5,40,1.0764,0.6008,0.0175,0.3636,0.5423,0.0959,0.2688,0.4018,0.4464
"136",5,41,0.8297,0.4631,0.0502,0.2868,0.4,0.2235,0.2511,0.3313,0.4487
"137",5,42,0.249,0.139,0.0226,0.355,0.2787,0.1922,0.3042,0.2771,0.25
"138",5,44,0.6916,0.386,0.077,0.4601,0.2886,0.3841,0.1339,0.2463,0.2737
"139",5,45,0.8008,0.4469,0.0436,0.2548,0.1249,0.1258,0.129,0.3661,0.2371
"140",5,46,0.964,0.538,0.0698,0.2085,0.307,0.2442,0.1146,0.1806,0.173
"141",5,47,0.4372,0.244,0.0207,0.308,0.2404,0.146,0.2001,0.2328,0.1684
"142",5,48,1.1084,0.6186,0.1258,0.4712,0.4614,0.3655,0.2517,0.4469,0.4622
"143",5,49,0.6626,0.3698,0.0516,0.4411,0.2966,0.2882,0.2762,0.3101,0.2727
"144",5,50,0.4209,0.2349,0.028,0.3077,0.4222,0.2276,0.1662,0.2854,0.3194
"145",5,51,0.4315,0.2408,0.0363,0.3024,0.2272,0.1908,0.2065,0.3597,0.2285
"146",5,53,0.9736,0.5434,0.0647,0.2636,0.2551,0.3306,0.2991,0.2589,0.4135
"147",5,54,0.2501,0.1396,0.0204,0.3447,0.519,0.1654,0.4042,0.5764,0.5602
"148",5,55,0.4576,0.2554,0.071,0.7199,0.2599,0.2048,0.6444,0.6453,0.205
"149",5,56,0.6104,0.3407,0.0129,0.2615,0.2024,0.1302,0.1919,0.2538,0.1782
"150",5,72,0.096,0.0536,0.0893,0.3399,0.3407,0.3811,0.2713,0.3833,0.3403
"151",6,35,1.2321,0.6876,0.2651,0.1937,0.4636,0.22,0.1584,0.3654,0.3624
"152",7,1,0.7815,0.4362,0.1007,0.4267,0.3607,0.201,0.4183,0.578,0.3488
"153",7,4,1.0823,0.604,0.3391,0.2951,0.3656,0.4294,0.214,0.3372,0.3104
"154",7,5,1.0311,0.5755,0.1058,0.3041,0.4657,0.3948,0.4407,0.3147,0.4779
"155",7,6,1.053,0.5877,0.0465,0.2931,0.3084,0.2313,0.2501,0.2827,0.2931
"156",7,8,0.7694,0.4294,0.01,0.2844,0.2367,0.0994,0.2349,0.4269,0.2263
"157",7,9,0.7648,0.4269,0.0826,0.5704,0.3748,0.2832,0.3175,0.33,0.2491
"158",7,12,0.8579,0.4788,0.0474,0.2726,0.1908,0.1643,0.1614,0.2852,0.2871
"159",7,13,0.9809,0.5475,0.0135,0.1423,0.1077,0.1965,0.0542,0.25,0.3042
"160",7,15,1.331,0.7429,0.0491,0.2154,0.3408,0.1831,0.1521,0.2307,0.1952
"161",7,16,0.3004,0.1677,0.0069,0.3677,0.301,0.115,0.4827,0.0667,0.416
"162",7,17,0.8697,0.4854,0.0491,0.2152,0.1749,0.2905,0.1666,0.3122,0.3803
"163",7,18,0.4355,0.243,0.0617,0.0286,0.1998,0.4187,0.4473,0.2091,0.4018
"164",7,19,0.3007,0.1678,0.0323,0.5098,0.3336,0.2768,0.2331,0.1762,0.0568
"165",7,20,0.4331,0.2417,0.0077,0.3589,0.1649,0.0997,0.2593,0.5238,0.2646
"166",7,21,0.3897,0.2175,0.0076,0.1699,0.0403,0.1256,0.2955,0.2102,0.0853
"167",7,22,0.8938,0.4989,0.1678,0.4998,0.2647,0.2304,0.4485,0.5181,0.1679
"168",7,23,0.3654,0.2039,0.0393,0.4235,0.5726,0.1388,0.3226,0.189,0.4688
"169",7,25,0.7609,0.4246,0.0193,0.2767,0.1135,0.0874,0.2346,0.1643,0.0703
"170",7,26,0.3179,0.1774,0.0149,0.2399,0.2988,0.1831,0.1838,0.2474,0.2628
"171",7,27,0.9057,0.5055,0.2708,0.4791,0.2599,0.3013,0.35,0.3419,0.2936
"172",7,28,0.8959,0.5,0.0771,0.351,0.2833,0.2883,0.2286,0.387,0.1585
"173",7,29,0.5817,0.3246,0.0437,0.346,0.2678,0.1662,0.3021,0.2703,0.2591
"174",7,30,0.4006,0.2236,0.0032,0.1858,0.3035,0.0915,0.2774,0.1176,0.395
"175",7,31,0.4413,0.2463,0,NA,0,0,NA,NA,0
"176",7,32,1.009,0.5631,0.1084,0.3632,0.3114,0.3116,0.3399,0.2416,0.2772
"177",7,33,0.4011,0.2239,0.0629,0.6696,0.1734,0.2347,0.4387,0.6894,0.3053
"178",7,34,1.264,0.7054,0.2141,0.5765,0.4263,0.5742,0.3315,0.551,0.5296
"179",7,35,0.8903,0.4969,0.0173,0.2491,0.1019,0.1459,0.2555,0.351,0.2318
"180",7,36,0.824,0.4599,0.0985,0.4519,0.5122,0.349,0.1901,0.4185,0.367
"181",7,37,0.9902,0.5527,0.0671,0.2789,0.2198,0.1627,0.3278,0.2669,0.2886
"182",7,38,0.2459,0.1372,0,0,0,0,0,0,0
"183",7,39,0.5724,0.3194,0.0925,0.5375,0.2328,0.3874,0.2976,0.5389,0.3682
"184",7,40,0.7847,0.4379,0.0566,0.7269,0.0798,0.2373,0.7086,0.6471,0.2608
"185",7,41,0.6909,0.3856,0.0166,0.2518,0.1047,0.1799,0.1439,0.2367,0.1681
"186",7,42,0.5848,0.3264,0.133,0.5955,0.3107,0.2166,0.4194,0.5696,0.2827
"187",7,44,1.1843,0.661,0.1844,0.4991,0.4091,0.5655,0.2404,0.4567,0.4652
"188",7,45,0.8442,0.4711,0.096,0.4068,0.4202,0.2658,0.3218,0.5434,0.4404
"189",7,46,0.9611,0.5364,0.0055,0.286,0.5717,0.1349,0.1511,0.2857,0.4368
"190",7,47,0.5143,0.287,0.0849,0.5541,0.0773,0.217,0.6402,0.505,0.2779
"191",7,48,0.9103,0.508,0.0408,0.3377,0.2704,0.2552,0.1577,0.4804,0.4501
"192",7,49,0.6383,0.3562,0.0085,0.2751,0.1271,0.0846,0.2438,0.177,0.1319
"193",7,50,0.6366,0.3553,0.04,0.3751,0.3091,0.1558,0.2723,0.195,0.2431
"194",7,51,0.819,0.4571,0.0024,0.0317,0.1021,0.1104,0.0876,0.0933,0.1612
"195",7,53,0.8607,0.4804,0.0655,0.2622,0.2043,0.2671,0.3108,0.2914,0.285
"196",7,54,0.2163,0.1207,0.0077,0.2921,0.1008,0.023,0.28,0.2094,0.1118
"197",7,55,0.6355,0.3547,0.1706,0.2506,0.1586,0.2667,0.2342,0.1287,0.2363
"198",7,56,0.7671,0.4281,0.0521,0.2815,0.3579,0.3056,0.2469,0.3154,0.0869
"199",7,72,0.0389,0.0217,0.0151,0.3844,0.2903,0.1408,0.3085,0.5,0.3663
"200",9,1,0.5983,0.3339,0.0701,0.4385,0.3435,0.3748,0.4551,0.3262,0.3112
"201",9,4,1.1335,0.6326,0.2912,0.4745,0.2941,0.2002,0.3873,0.329,0.2337
"202",9,5,0.43,0.24,0.009,0.28,0.2557,0.1616,0.222,0.3083,0.1632
"203",9,6,0.8103,0.4523,0.0122,0.1946,0.1662,0.1325,0.1122,0.1792,0.1448
"204",9,8,0.6249,0.3487,0.0029,0.1437,0.3345,0.0665,0.0773,0.1908,0.2681
"205",9,9,1.1726,0.6545,0.1833,0.608,0.3315,0.5193,0.3142,0.5367,0.5091
"206",9,12,0.9811,0.5475,0.0727,0.4542,0.2363,0.2411,0.2722,0.4979,0.2748
"207",9,13,0.9722,0.5426,0.0671,0.2817,0.3891,0.2283,0.2814,0.4848,0.3025
"208",9,15,1.3305,0.7425,0.091,0.2195,0.4713,0.2374,0.1579,0.3564,0.2677
"209",9,16,0.6853,0.3825,0.0612,0.0339,6e-04,0.1441,0.1102,0.0333,0.1436
"210",9,17,0.7504,0.4188,0.1373,0.4704,0.0721,0.4131,0.0574,0.5426,0.4852
"211",9,18,0.3269,0.1824,0.0131,0.1371,0.212,0.1477,0.1177,0.3426,0.3532
"212",9,19,0.2137,0.1193,0.0181,0.1397,0.1897,0.2731,0.1334,0.3294,0.4628
"213",9,20,0.7038,0.3928,0.079,0.3061,0.1568,0.3802,0.202,0.3031,0.3902
"214",9,21,0.5483,0.306,0.0494,0.3795,0.3248,0.2479,0.2019,0.2351,0.2018
"215",9,22,0.9779,0.5458,0.144,0.4336,0.6145,0.5169,0.515,0.5648,0.1635
"216",9,23,0.3787,0.2113,0.0209,0.3224,0.2951,0.129,0.2695,0.1229,0.2608
"217",9,24,0.8886,0.496,0.0146,0.1585,0.161,0.103,0.133,0.2344,0.1869
"218",9,25,0.9808,0.5474,0.2452,0.4936,0.4133,0.6496,0.3581,0.3543,0.4941
"219",9,26,0.3436,0.1918,0.0161,0.2877,0.2295,0.1452,0.3766,0.4172,0.2067
"220",9,27,0.5805,0.324,0.1204,0.6739,0.3544,0.2891,0.4588,0.5087,0.1596
"221",9,28,0.8768,0.4893,0.0967,0.353,0.7866,0.3866,0.1062,0.4337,0.4
"222",9,29,0.7045,0.3932,0.09,0.311,0.5187,0.4491,0.5723,0.5176,0.4911
"223",9,30,0.3765,0.2102,0.0103,0.5089,0.5258,0.0568,0.4904,0.4139,0.4899
"224",9,31,0.3447,0.1924,0,0,0,0,0,0,0
"225",9,32,0.8737,0.4876,0,0,0,0,0,0,0
"226",9,33,0.5186,0.2895,0.0556,0.4048,0.4978,0.2571,0.194,0.2112,0.2838
"227",9,34,0.6341,0.3539,0.0888,0.4746,0.2836,0.3565,0.2963,0.2613,0.3249
"228",9,35,1.1018,0.6149,0.0773,0.3125,0.1464,0.3319,0.1815,0.327,0.4216
"229",9,36,0.5494,0.3066,0.1352,0.451,0.4252,0.2115,0.3634,0.2082,0.3955
"230",9,37,0.4147,0.2315,0.0215,0.221,0.1698,0.2032,0.1621,0.2393,0.1643
"231",9,38,0.4904,0.2737,0.0521,0.572,0.3665,0.3,0.272,0.2056,0.0854
"232",9,39,0.582,0.3248,0.066,0.3895,0.4312,0.299,0.219,0.4854,0.3443
"233",9,40,0.9302,0.5192,0.0341,0.4651,0.1672,0.1064,0.5332,0.5596,0.0621
"234",9,41,0.6358,0.3549,0.0045,0.1143,0.1239,0.1004,0.1016,0.1404,0.1138
"235",9,42,0.2403,0.1341,0.0168,0.2622,0.348,0.1926,0.1791,0.185,0.32
"236",9,44,0.5177,0.2889,0.0393,0.3703,0.3093,0.2528,0.226,0.279,0.2294
"237",9,45,0.8586,0.4792,0.1231,0.3508,0.3578,0.1749,0.3175,0.3544,0.4394
"238",9,46,0.5181,0.2891,0.0903,0.4962,0.4089,0.1579,0.3383,0.0873,0.2511
"239",9,47,0.5531,0.3087,0.0556,0.4552,0.2727,0.2535,0.2865,0.4396,0.2758
"240",9,48,0.5437,0.3034,0.0173,0.2425,0.2605,0.2179,0.1261,0.4889,0.4644
"241",9,49,0.2748,0.1534,0,0,0,0,0,0,0
"242",9,50,0.2985,0.1666,0.0087,0.2167,0.0548,0.1316,0.3284,0.1619,0.1855
"243",9,51,0.8554,0.4774,0.0208,0.1688,0.2102,0.1657,0.1906,0.1948,0.2596
"244",9,53,0.8003,0.4467,0.0949,0.3485,0.1522,0.2277,0.3407,0.3722,0.2519
"245",9,54,0.3627,0.2025,0.0227,0.367,0.4018,0.142,0.2432,0.4247,0.3514
"246",9,55,0.8594,0.4796,0.1161,0.4951,0.3083,0.4618,0.3403,0.352,0.2905
"247",9,56,0.5081,0.2836,0.0104,0.1736,0.2449,0.1617,0.1319,0.2914,0.1809
"248",9,72,0.0608,0.034,0.0259,0.2376,0.6214,0.2161,0.2167,0.4737,0.6088
"249",11,1,0.7988,0.4458,0.0733,0.2841,0.2697,0.4151,0.2678,0.2765,0.4504
"250",11,4,1.0044,0.5606,0.0328,0.3155,0.4146,0.1866,0.2758,0.0991,0.3749
"251",11,5,1.1009,0.6144,0.0207,0.1602,0.43,0.1413,0.1303,0.3296,0.3223
"252",11,6,0.9234,0.5153,0.0395,0.1963,0.2128,0.2155,0.2119,0.2305,0.1719
"253",11,8,1.0308,0.5753,0.0389,0.5738,0.2851,0.1107,0.4631,0.2887,0.1744
"254",11,9,0.9689,0.5408,0.1132,0.5194,0.3799,0.4439,0.1448,0.4148,0.3667
"255",11,12,1.3656,0.7622,0.1624,0.5755,0.3374,0.3418,0.4434,0.5134,0.248
"256",11,13,0.5732,0.3199,0.0211,0.1642,0.0866,0.2309,0.3839,0.1675,0.2734
"257",11,16,0.8521,0.4755,0.1797,0.217,0.1427,0.2052,0.3167,0.2565,0.1469
"258",11,17,0.551,0.3075,0.0862,0.2709,0.3143,0.46,0.2683,0.2244,0.324
"259",11,18,0.5909,0.3298,0.0407,0.2987,0.3927,0.158,0.2497,0.2496,0.3599
"260",11,19,0.2888,0.1612,0.0123,0.1524,0.1954,0.1556,0.2292,0.122,0.2945
"261",11,20,0.5671,0.3165,0.0222,0.2926,0.334,0.0932,0.3343,0.2228,0.2915
"262",11,21,0.2529,0.1411,0.0247,0.4022,0.1279,0.2045,0.3768,0.2853,0.3025
